	z_a	z_e	a	e	a_logits	e_logits	e_in
985	[0.39485976099967957, -0.5375510454177856, -0.10769063234329224, 0.7338989973068237, -0.5574952363967896, -0.2746993601322174, 0.15550494194030762, -1.4422800540924072]	[2.022834539413452, -1.1139686107635498, -1.4652328491210938, -2.126436471939087, -0.3552056550979614, -0.918678879737854, 1.121966004371643, 0.5701271295547485, 1.670960783958435, -2.0610272884368896, 0.8218413591384888, 1.1034700870513916, 1.931145429611206, 0.07465946674346924, 2.0491509437561035, -1.3593391180038452]	6.0	3.0	[-0.9528600573539734, -1.0756951570510864, -0.5873991847038269, 0.10396387428045273, -0.39011600613594055, 0.40462446212768555, 0.5953320264816284, -1.0913140773773193]	[-0.5178815722465515, -0.3930758535861969, 0.10634416341781616, 1.9372183084487915, -0.8034588694572449, -0.24262242019176483, -0.20789273083209991, -0.679516613483429, -0.5782648921012878, -0.677267849445343, -0.7263343930244446]	3
986	[-0.9574474096298218, 1.367951512336731, 0.27331045269966125, -1.3666768074035645, -1.3509154319763184, 1.3971047401428223, -2.8044161796569824, 0.7499147653579712]	[-2.2925076484680176, 3.37893009185791, 3.692899227142334, 0.24742037057876587, 0.07393556833267212, 0.9811950325965881, -0.9575584530830383, 1.4696922302246094, -3.330479621887207, -1.3579410314559937, -1.7872947454452515, -0.9477252960205078, -1.5668176412582397, -2.2892096042633057, -2.6665825843811035, 2.84464693069458]	2.0	0.0	[2.1008219718933105, 1.8630337715148926, 2.321373224258423, -0.7205826044082642, 1.0564204454421997, -0.027698708698153496, 0.022147025913000107, -0.49494364857673645]	[1.9901882410049438, -0.5773589611053467, -0.6950161457061768, -0.6265755891799927, -0.8551866412162781, -0.7378953099250793, -0.7616972327232361, -0.8990025520324707, -0.9879754185676575, -0.8913056254386902, -0.8472287058830261]	0
987	[0.6463189125061035, -1.1286085844039917, -0.8196574449539185, 0.9637883305549622, -0.6429368853569031, 0.3422967791557312, -1.7679026126861572, -1.0013700723648071]	[0.7631651163101196, -0.2221064567565918, -1.1664295196533203, -0.4605143964290619, 0.6668194532394409, -1.005660057067871, -2.6920855045318604, 0.31905463337898254, 1.3259384632110596, -0.961184024810791, -0.27771976590156555, -0.38004088401794434, 0.5499255657196045, 0.9172884225845337, 1.1509625911712646, 0.19137778878211975]	6.0	3.0	[-0.3942411541938782, 0.2128705233335495, 0.008526910096406937, 0.6106846928596497, 0.6331193447113037, 0.02501242235302925, 1.9891314506530762, -0.15050923824310303]	[-0.7094516754150391, -0.5873054265975952, -0.9507379531860352, 1.6050711870193481, -0.008878035470843315, -0.6485509276390076, -0.6223994493484497, -1.0539116859436035, -0.8266400098800659, -0.9909057021141052, -0.7546769380569458]	4
988	[-0.7442460656166077, -0.8188093900680542, -0.2296646237373352, 0.16898640990257263, -0.5070517063140869, 0.08761867880821228, -2.3957810401916504, -1.2692720890045166]	[1.7360113859176636, 0.8262704014778137, -0.15401610732078552, -0.3200346529483795, 0.6085103750228882, 0.46174606680870056, -1.3105658292770386, -0.25358760356903076, -1.1210774183273315, -0.776307225227356, 0.061614423990249634, 1.8960955142974854, 0.9409510493278503, 2.485349178314209, -1.2083163261413574, 0.754936695098877]	3.0	3.0	[-0.5716856718063354, 0.843332827091217, 0.33070504665374756, 1.3920249938964844, 0.4149656295776367, 0.9675471186637878, 0.5808045864105225, 0.2743946313858032]	[-1.0106477737426758, -0.39903539419174194, -0.772676944732666, 1.328842043876648, 0.48246291279792786, -0.35548391938209534, -0.0808834508061409, -0.7154501676559448, -0.42679527401924133, -0.6958549618721008, -0.5080235600471497]	6
989	[0.018327273428440094, -1.9986562728881836, -0.9115030765533447, 0.27062326669692993, 0.5888305902481079, -0.9973412156105042, -0.9211060404777527, -1.0942556858062744]	[3.423342227935791, -2.8130059242248535, -0.5128934383392334, -0.48556968569755554, 2.888056755065918, -0.4129209518432617, 0.6855785846710205, -0.7367929816246033, 1.1008586883544922, -2.2038164138793945, 0.621711015701294, 0.3994215130805969, 1.4687062501907349, 2.4498486518859863, 2.9363656044006348, -1.1180472373962402]	3.0	0.0	[-1.503817081451416, 0.22643986344337463, -1.3397698402404785, 1.4984911680221558, 0.6570861339569092, -0.1773259937763214, 0.44360002875328064, 1.0943958759307861]	[1.3606650829315186, -0.6817442178726196, -0.9258342385292053, 0.2852550745010376, -0.9497020840644836, -0.453278124332428, -0.029269961640238762, -0.7458137273788452, -0.9767431616783142, -0.8271065354347229, -0.7453674077987671]	4
990	[-1.9488648176193237, -1.3643028736114502, -1.0116971731185913, 0.6867627501487732, 1.8758753538131714, -0.6474031209945679, 0.12791429460048676, -0.5590577721595764]	[1.0703014135360718, -1.7397966384887695, -2.4259541034698486, -1.3060622215270996, 3.454620122909546, -1.658077359199524, -1.2963874340057373, 1.5310370922088623, 6.306230545043945, -0.9152083992958069, 2.6500279903411865, -0.8278486132621765, 0.8997136354446411, 4.0577216148376465, 4.566559314727783, -1.1931184530258179]	7.0	3.0	[-1.1151716709136963, -0.1671629697084427, -1.7330818176269531, 0.9530320167541504, -1.179059386253357, 0.46768632531166077, -1.5016969442367554, 2.3331854343414307]	[-0.7841203808784485, -0.5993399620056152, -0.6050211191177368, 2.1909937858581543, -0.6394129395484924, -0.6092745065689087, -0.6411010026931763, -0.8738299012184143, -0.8489867448806763, -0.6541327238082886, -0.9144430160522461]	3
991	[0.8327102065086365, -2.08001446723938, -0.872998058795929, 1.3729534149169922, -0.5314877033233643, 0.29436391592025757, -0.8633226156234741, -1.0406997203826904]	[1.2196900844573975, -3.1769635677337646, -1.3340610265731812, -1.2005869150161743, 3.2053494453430176, -0.9945843815803528, -0.21063411235809326, 0.13178524374961853, 2.784651756286621, -1.230400800704956, 1.8700146675109863, -0.31730395555496216, -0.8079689741134644, 2.7911558151245117, 3.241703510284424, -1.9885177612304688]	6.0	0.0	[-0.770010769367218, -0.4641013443470001, -0.6785658001899719, 0.6144049763679504, 0.34490394592285156, -0.9043448567390442, 2.3745932579040527, -0.05307094007730484]	[1.906862497329712, -0.7905582785606384, -0.9168024659156799, -0.8656356334686279, -0.6210945844650269, -1.1919219493865967, -0.9426520466804504, -1.4791393280029297, -1.1848853826522827, -1.4025578498840332, -1.4441273212432861]	4
992	[-0.5425008535385132, 0.4928230047225952, -0.29697665572166443, -0.48584800958633423, -0.4318687617778778, 0.486064612865448, -1.6623449325561523, 0.3069503903388977]	[-2.3044981956481934, 2.0657339096069336, -0.16462048888206482, 0.20463673770427704, 0.08836626261472702, 0.7016980648040771, -1.3495032787322998, 0.9999240636825562, -1.4156394004821777, 0.8625203967094421, -2.5204999446868896, -0.3876757025718689, -1.45127272605896, -1.2927664518356323, -0.39512792229652405, 1.1910855770111084]	1.0	3.0	[0.9690006971359253, 0.9721237421035767, 0.8524273633956909, -0.38124391436576843, 0.6036779880523682, -0.11497694998979568, -0.023532021790742874, 0.06739017367362976]	[-0.1785745471715927, -0.39726510643959045, -0.700638473033905, 1.8452632427215576, -0.8974735140800476, -0.31156858801841736, -0.5727093815803528, -0.6570035815238953, -0.5838915109634399, -0.5925266742706299, -0.5292543172836304]	4
993	[0.09822950512170792, 0.5535089373588562, -0.06938762217760086, -1.0832338333129883, -0.6346250772476196, 0.49361857771873474, -1.1774884462356567, 0.656535804271698]	[-0.8178059458732605, -0.9163587093353271, -0.4936577379703522, 0.11828736960887909, -1.3585567474365234, 2.286017894744873, -1.12581205368042, 0.11244672536849976, -0.758545994758606, -0.9956108927726746, -1.4246153831481934, 0.052773743867874146, -0.10785061120986938, -2.125971794128418, -1.6005184650421143, 0.47489047050476074]	0.0	0.0	[1.2722166776657104, 0.8736305236816406, 0.9282475113868713, -0.8304693102836609, 1.0704007148742676, -0.8738714456558228, 0.11046495288610458, -0.4148612916469574]	[1.7790056467056274, -0.26296892762184143, -0.34586310386657715, -0.21014299988746643, -1.0516648292541504, -0.7741377949714661, -0.07801410555839539, -0.37871330976486206, -0.5730484127998352, -0.5712831616401672, -0.5976816415786743]	0
994	[-0.9961633682250977, 1.4519342184066772, -0.011463820934295654, -0.585379421710968, 0.1771816611289978, 0.3393239378929138, 1.1237717866897583, -0.19549237191677094]	[-0.3429202139377594, 3.2040412425994873, 2.0280189514160156, 1.0173914432525635, -0.19073981046676636, 1.8365850448608398, -2.8367562294006348, 2.2574892044067383, -3.2870254516601562, 1.2773059606552124, -0.7040596008300781, 0.14027634263038635, -3.0011725425720215, -3.744664192199707, -0.6408883333206177, 0.08566141128540039]	5.0	4.0	[0.33905452489852905, -0.7861159443855286, -0.06537209451198578, -1.4961727857589722, -1.1416780948638916, 0.9398470520973206, -1.775955319404602, -0.7722930908203125]	[-0.6934589743614197, -0.255521297454834, -0.36479729413986206, -0.7217099070549011, 2.085719347000122, -0.46872103214263916, -0.4606507122516632, -1.0699141025543213, -0.6684649586677551, -0.6898901462554932, -0.5469029545783997]	4
995	[0.02559525892138481, -1.2999885082244873, -0.18319225311279297, 0.05949902534484863, -0.09591491520404816, 0.25292152166366577, 0.6622788906097412, -1.2279071807861328]	[-0.14767050743103027, -2.421891212463379, 1.0239819288253784, 0.25861304998397827, 0.353050172328949, -1.1512877941131592, 2.969252824783325, -0.6216830611228943, 2.227388858795166, -1.0687936544418335, 0.5738644599914551, -0.0693051815032959, 0.7593940496444702, 2.539083957672119, -0.44947636127471924, 0.08811213821172714]	6.0	3.0	[-0.9830896854400635, -0.9819497466087341, -0.8962493538856506, 0.18381012976169586, -0.418366014957428, -0.09674876928329468, 0.43994465470314026, -0.4612342119216919]	[-0.7783873081207275, -0.3430807888507843, -0.139840230345726, 2.2883059978485107, -0.9547097086906433, -0.5183913111686707, -0.6861448287963867, -0.9109166860580444, -0.4071756601333618, -0.48092925548553467, -0.4766598045825958]	3
996	[0.5820145606994629, -1.7592883110046387, -1.1440904140472412, 0.7985131740570068, -1.0156022310256958, 0.13878649473190308, -2.1195526123046875, -1.4492439031600952]	[0.0066530704498291016, -1.7906825542449951, -0.601058304309845, -0.002910017967224121, 1.9470528364181519, -1.6752054691314697, 1.1024386882781982, 0.564142644405365, 3.2368576526641846, 1.1921439170837402, 1.0715198516845703, 1.8125507831573486, 1.7233396768569946, 2.9220163822174072, 2.49053955078125, -0.032655030488967896]	6.0	3.0	[-1.141647219657898, 0.427879273891449, -0.23866015672683716, 1.1062763929367065, 1.0612742900848389, 0.039422277361154556, 2.3271031379699707, -0.12242391705513]	[-0.5918742418289185, -0.5563787817955017, -0.6760718822479248, 1.8910409212112427, -0.6452941298484802, -0.7797279953956604, -0.6225619912147522, -0.88624507188797, -0.939466655254364, -0.8514999747276306, -0.8625285625457764]	3
997	[-0.7921098470687866, -1.488314151763916, -0.577219545841217, 0.8532489538192749, 1.5272119045257568, -0.3929990828037262, 1.9908884763717651, 0.570022702217102]	[0.8143054842948914, -2.778731346130371, -0.7279588580131531, 0.11277282238006592, 2.8916852474212646, -1.2603461742401123, 0.0698309987783432, 1.3639963865280151, 4.329239845275879, -2.7158384323120117, 3.965381145477295, -0.9045811295509338, 0.04792524874210358, 3.059522867202759, 3.371169090270996, -1.3963313102722168]	7.0	0.0	[-0.11222933232784271, -1.306089997291565, -1.8983460664749146, -0.593893826007843, -1.2480452060699463, -2.042728900909424, -0.8783067464828491, 1.4211220741271973]	[1.8142319917678833, -0.7456720471382141, -0.34750452637672424, -0.48218679428100586, -0.6866799592971802, -0.7353640794754028, -0.9482667446136475, -0.8921485543251038, -0.9491912722587585, -0.9713574051856995, -1.1198161840438843]	0
998	[0.2582393288612366, 0.2796614468097687, -0.9484902024269104, 1.478489875793457, -0.3100833594799042, 0.9321755170822144, -1.267627239227295, -1.5047502517700195]	[0.8442476987838745, -1.6970887184143066, 0.2078665792942047, -1.798022747039795, -0.28372400999069214, -0.06075392663478851, 0.9423909187316895, 0.9388749599456787, 0.5285397171974182, 0.35990822315216064, 0.7306178212165833, 0.590204656124115, 1.4461500644683838, 0.7070228457450867, 0.5788312554359436, 1.4875032901763916]	5.0	0.0	[-0.31097277998924255, -0.387187123298645, 0.22095051407814026, -0.0843510702252388, -0.635358989238739, 2.059504508972168, 1.3482807874679565, -0.6196832656860352]	[1.7949727773666382, -0.5663346648216248, -1.2044137716293335, -0.5405293107032776, -0.4526515603065491, -0.9645609259605408, -0.9428828358650208, -1.22452974319458, -1.2604866027832031, -1.3567924499511719, -1.3309545516967773]	7
999	[-1.178666591644287, 1.6180040836334229, 0.8621628880500793, -2.855483055114746, -0.29661744832992554, 0.0037445127964019775, -0.16085243225097656, 0.7293697595596313]	[0.370302677154541, 4.066910743713379, -0.16251182556152344, -0.7796655893325806, 1.6545851230621338, 1.9620736837387085, -1.5740658044815063, 0.18691381812095642, -3.0815021991729736, -0.06574037671089172, -3.2775635719299316, 0.03369343653321266, -2.9847488403320312, -4.586358070373535, -1.0817285776138306, 1.8611047267913818]	0.0	4.0	[1.2092453241348267, 0.891575276851654, 0.9631005525588989, -1.038238286972046, 0.6276471614837646, -0.1581987589597702, -2.4846532344818115, -0.6274489164352417]	[-0.6095165014266968, 1.2917274236679077, -0.3310980498790741, -0.9139115810394287, 1.4442695379257202, 0.42161890864372253, 0.05527602136135101, 0.2317562699317932, 0.2156326174736023, 0.22661544382572174, 0.014950876124203205]	6
1000	[0.6572750806808472, -0.6844156980514526, -0.07805266976356506, -0.3673245906829834, -0.9105264544487, 1.0919554233551025, -0.7790852785110474, -0.807048499584198]	[1.1766716241836548, 0.35914838314056396, 1.7211562395095825, -2.0511770248413086, -1.0528818368911743, 0.44704434275627136, 0.6906571388244629, 0.7400036454200745, -0.6433796882629395, -1.6510955095291138, -2.587291717529297, 0.42912498116493225, -0.6381634473800659, -2.0663046836853027, 0.0452876091003418, 0.3452017903327942]	6.0	3.0	[0.11494617909193039, -0.05169669911265373, 0.4337984621524811, -0.11175966262817383, 0.5488816499710083, -0.16796888411045074, 1.490185022354126, -1.0002272129058838]	[-0.8175686001777649, -0.45769715309143066, -0.3597050905227661, 2.3508009910583496, -0.8269853591918945, -0.39421766996383667, -0.3091821074485779, -0.6580844521522522, -0.6748824119567871, -0.5896416306495667, -0.5306503176689148]	4
1001	[-1.226073980331421, -0.6548436284065247, -0.27248311042785645, -0.4684669077396393, -0.2176818549633026, 0.2785974144935608, -0.8068417906761169, -0.20832309126853943]	[0.2621455490589142, 0.7709963321685791, -1.4830214977264404, 1.2331759929656982, -1.3459725379943848, -1.6251250505447388, -1.5740967988967896, 0.7779411673545837, 0.4484107196331024, -0.5739213228225708, 2.1383965015411377, -0.6412025690078735, 1.5381572246551514, 1.2714006900787354, 0.8383577466011047, -0.49842754006385803]	7.0	3.0	[-0.03608807176351547, 0.43096446990966797, -0.03952205926179886, 0.1751527339220047, 0.06105075031518936, -0.3782581388950348, -0.37055543065071106, 0.44828447699546814]	[-0.9153409600257874, -0.5505189299583435, -0.6439642906188965, 2.401602268218994, -0.7180498242378235, -0.6752253174781799, -0.41089633107185364, -0.5924503207206726, -0.7067421674728394, -0.9090390801429749, -0.7845679521560669]	4
1002	[-0.019194036722183228, -0.5878533124923706, -0.8147841095924377, -0.05686403810977936, -1.2090344429016113, 0.3421095311641693, 0.6430095434188843, -0.966624915599823]	[0.7482197284698486, 1.4311861991882324, -1.48650324344635, 0.8521533608436584, 1.257788062095642, 2.069627285003662, 0.06129148602485657, -0.3557329773902893, 0.6050738096237183, -0.39541953802108765, 0.06227445602416992, -0.8544321060180664, 2.388697385787964, -0.21316391229629517, -0.8434157371520996, -1.5555741786956787]	6.0	0.0	[-0.9605883955955505, -0.9080831408500671, -0.6063951849937439, -0.8685829043388367, -0.054277364164590836, -0.35831958055496216, 0.6322958469390869, -1.2792493104934692]	[0.9308708906173706, -0.7215491533279419, -0.18577131628990173, 0.38977402448654175, -0.617889404296875, -0.6433103084564209, 0.2959403693675995, 0.2614666819572449, -0.1838262975215912, -0.3726731240749359, -0.252227246761322]	3
1003	[-0.40821176767349243, 1.3919181823730469, 0.40122368931770325, -0.33791911602020264, -1.1962485313415527, 0.31314292550086975, 0.05041515827178955, 0.594581663608551]	[-0.7328343391418457, 1.6916556358337402, 1.4942562580108643, -0.24388659000396729, -0.3404063582420349, 1.4804335832595825, 0.17400026321411133, -0.22560691833496094, -4.135321617126465, 1.1287572383880615, -1.7902522087097168, -0.3543384075164795, -3.79304838180542, -3.6252973079681396, -1.6637861728668213, 0.4384559988975525]	0.0	0.0	[1.3207117319107056, -0.3104187548160553, 0.8759511113166809, -1.761299967765808, -0.1520480513572693, -0.8891890048980713, -0.5799205899238586, -1.4477214813232422]	[1.293840765953064, -0.3026300370693207, -0.630669116973877, -0.6019253134727478, -0.09849635511636734, -0.7676926851272583, -0.7656735777854919, -1.8132874965667725, -1.174807071685791, -1.2261990308761597, -1.1989192962646484]	4
1004	[0.13410967588424683, 1.122930645942688, -0.5256927609443665, -1.3000746965408325, -0.9667584300041199, 0.4198993146419525, 0.36727631092071533, -0.22296856343746185]	[-0.29163044691085815, -0.12614154815673828, 0.4584499001502991, 0.06488145887851715, -0.1000373363494873, 0.0063866376876831055, -0.9781571626663208, 1.8635694980621338, -4.2043137550354, -0.38237154483795166, -2.057096242904663, -0.6939064264297485, 0.02380549907684326, -3.270839214324951, -0.8150652647018433, 0.6555495262145996]	4.0	5.0	[0.13710451126098633, -0.17809344828128815, 0.26572489738464355, -1.634507656097412, 0.45034125447273254, 0.2484864890575409, -0.41153058409690857, -1.538198709487915]	[0.9711782932281494, 0.37301087379455566, -0.020732851698994637, -0.5330323576927185, -0.465872198343277, 1.6023756265640259, 0.4765831232070923, 0.41536834836006165, 0.5051990747451782, 0.6922804713249207, 0.5421145558357239]	1
1005	[-0.9904531240463257, 1.1575205326080322, 1.1334606409072876, 0.6445791721343994, 0.17405110597610474, -0.17706817388534546, 1.1722915172576904, 2.6734673976898193]	[-1.535099744796753, 2.8041865825653076, 0.17487439513206482, 0.23937329649925232, -0.9779607653617859, -0.3197612464427948, -1.2295300960540771, 0.6296082735061646, -2.8647024631500244, -0.008943617343902588, -1.4796195030212402, -1.9098279476165771, -1.7656031847000122, -3.0818421840667725, -1.981365442276001, 0.49627017974853516]	0.0	4.0	[3.0417063236236572, -0.7645667791366577, 0.49541446566581726, -2.3509273529052734, -1.0913264751434326, -3.588775634765625, -1.6126469373703003, 0.06603490561246872]	[0.10115759819746017, -0.4928493797779083, -0.20663337409496307, -0.4945221245288849, 1.234442949295044, -0.6724599599838257, -0.2754708230495453, -0.7979385256767273, -0.6726912260055542, -0.7899601459503174, -0.843655526638031]	6
1006	[-2.352346658706665, -0.16011059284210205, 0.31263262033462524, 0.997016191482544, 1.9822144508361816, -0.5673823356628418, 2.6383848190307617, 0.9809374213218689]	[-1.0815151929855347, -1.0084326267242432, -0.9370760917663574, 1.37564218044281, 1.811194658279419, -1.6681209802627563, 0.6653243899345398, 2.481790542602539, 1.4534873962402344, 1.4135627746582031, 1.4704691171646118, -0.3472196161746979, -1.1359117031097412, 0.36801987886428833, 1.699710726737976, -0.6580010652542114]	7.0	4.0	[0.5831825733184814, -1.686105728149414, -1.5955336093902588, -1.0574620962142944, -2.7167294025421143, -1.432439923286438, -2.9429078102111816, 1.5363059043884277]	[-0.6555274128913879, -0.639774739742279, -0.7431718707084656, 0.09836580604314804, 1.4729312658309937, -0.9854427576065063, -0.5655806064605713, -1.2726383209228516, -1.0201886892318726, -1.0178312063217163, -1.006074070930481]	3
1007	[0.5596789121627808, -0.7284256219863892, -0.6180394291877747, 0.5853833556175232, -1.2225993871688843, 0.32871830463409424, -2.0859272480010986, -1.3609446287155151]	[0.680185854434967, 0.14026528596878052, -0.044103436172008514, 0.5729609727859497, 1.4045743942260742, 1.6994324922561646, 0.1628427952528, -0.6958064436912537, -0.5144656300544739, -2.3301100730895996, -1.5468111038208008, 0.894039511680603, -0.05386459827423096, -0.1731661856174469, 0.7172356247901917, -0.3204905092716217]	6.0	0.0	[-0.5660669803619385, 0.35231682658195496, 0.37324219942092896, 0.6525956392288208, 0.810226559638977, 0.5639670491218567, 1.8854198455810547, -0.7672417759895325]	[1.3091983795166016, -0.31920820474624634, -0.5030463337898254, -0.4712854027748108, -0.15253815054893494, -0.6842876672744751, -0.6336735486984253, -0.8196781277656555, -0.710331916809082, -0.5651059746742249, -0.4885219633579254]	1
1008	[-1.269870400428772, 1.6494311094284058, 1.402066707611084, -0.6740057468414307, 0.03839091956615448, 0.22209927439689636, -0.5730843544006348, 1.2437152862548828]	[-0.30765146017074585, 4.2108154296875, -1.0609194040298462, 0.5324325561523438, -1.3356198072433472, 1.3823013305664062, -0.6717835068702698, 1.2367146015167236, -4.105135440826416, -0.6378154158592224, -1.7200181484222412, -0.8404760360717773, -1.8269530534744263, -3.42177677154541, -1.6090984344482422, 1.584589958190918]	0.0	0.0	[2.3626832962036133, 0.382500022649765, 1.3388917446136475, -0.9966640472412109, -0.5112817883491516, -0.737994909286499, -1.8463070392608643, -0.17776797711849213]	[2.1059041023254395, -0.5100218057632446, -0.5467317700386047, -0.653892457485199, -0.8360405564308167, -0.4946860671043396, -0.6292325854301453, -1.0491602420806885, -0.778878927230835, -0.8123118281364441, -0.7972519993782043]	0
1009	[-0.2648088037967682, 0.48863741755485535, 0.1364389806985855, -1.1007940769195557, -0.1231234222650528, 0.341138631105423, -1.4840219020843506, 0.6073164939880371]	[-0.7944495677947998, 1.5173090696334839, 0.6520068645477295, -0.9286818504333496, -0.07283002138137817, -0.7318748831748962, -0.536194920539856, 0.3157132863998413, -0.7542535066604614, -0.2669304609298706, -0.9500054121017456, -0.010971618816256523, -0.8209306001663208, -0.12823206186294556, 0.2622283697128296, -0.12158156931400299]	0.0	4.0	[1.2909903526306152, 1.1151484251022339, 0.9138554930686951, -0.30644330382347107, 0.9108827710151672, -0.5024195313453674, -0.324777215719223, 0.1433877795934677]	[-0.7811592817306519, -0.41571468114852905, -0.34531787037849426, 0.39275306463241577, 1.2444785833358765, -0.3443598747253418, -0.4173552393913269, -0.3346906006336212, -0.5417280197143555, -0.5896787643432617, -0.3742547631263733]	4
1010	[0.12552456557750702, 0.6208678483963013, 0.12501469254493713, 0.02822721004486084, -0.7539690732955933, 0.3257955312728882, 0.017101168632507324, 0.14189022779464722]	[-0.337901771068573, 0.9221704006195068, 0.8259467482566833, -1.1720892190933228, -1.998436689376831, 1.1898807287216187, 0.9917581677436829, 0.9483932852745056, -3.0699071884155273, -1.385271668434143, -0.7019718885421753, 0.22826389968395233, -0.6341918706893921, 0.6865358352661133, -1.7967867851257324, 1.043658971786499]	0.0	4.0	[0.8267003893852234, -0.44897934794425964, 0.41866350173950195, -1.1914280652999878, -0.08440059423446655, -0.6817004084587097, 0.09422670304775238, -1.0965726375579834]	[-0.028581490740180016, 0.07916916161775589, -0.381416916847229, -0.562946617603302, 1.5741320848464966, -0.2302331030368805, -0.6297314763069153, -0.5924039483070374, -0.5847214460372925, -0.21614760160446167, -0.2725456953048706]	4
1011	[-0.5019115209579468, -0.8770668506622314, -1.074657917022705, -0.029123008251190186, 0.7824997305870056, -0.489088237285614, 0.3829876780509949, -0.788433313369751]	[3.381113052368164, -1.7209223508834839, -0.24385380744934082, -0.1551101952791214, 0.8076866865158081, -1.7933446168899536, -0.4014766216278076, 0.3478012979030609, 2.925291061401367, -1.4986828565597534, 0.020850300788879395, 0.035604238510131836, -0.4344867467880249, 4.971137046813965, 2.4587695598602295, -0.20256119966506958]	7.0	4.0	[-1.1796813011169434, -0.35159793496131897, -1.3693444728851318, 0.1817883849143982, -0.2195407599210739, 0.33684787154197693, -0.5774737000465393, 0.703657329082489]	[-0.8979795575141907, 0.5710520148277283, -0.2769961953163147, -0.6965326070785522, 1.8841931819915771, -0.5358175039291382, -0.6192314624786377, -0.7170252203941345, -0.34951621294021606, -0.3340577185153961, -0.3684978187084198]	1
1012	[-0.8093656897544861, 1.477732539176941, -0.2366817593574524, -1.5427944660186768, -0.478161484003067, 0.5035039186477661, -1.2130024433135986, 0.3015006482601166]	[0.15120576322078705, 1.424075722694397, 2.033534526824951, 0.5899770855903625, -1.320489525794983, 2.514061212539673, -3.385713815689087, -0.5398156642913818, -0.8337664604187012, 0.4260949194431305, -1.948421597480774, 0.5343517065048218, -2.9100213050842285, -0.6825928688049316, -0.48198336362838745, 1.7135472297668457]	1.0	4.0	[0.9655137062072754, 1.0671411752700806, 1.0371363162994385, -0.9405055046081543, 0.6331316828727722, 0.6464999318122864, -1.0483125448226929, -0.40723809599876404]	[-0.3925919830799103, -0.451240599155426, -0.15426276624202728, -0.4362759590148926, 1.8159719705581665, -0.6619361042976379, -0.11289671063423157, -0.6367188096046448, -0.6037254929542542, -0.7729941606521606, -0.6309110522270203]	6
1013	[0.7444137930870056, -0.8911676406860352, 0.5876506567001343, 0.17967966198921204, -0.7384799122810364, 0.10580407083034515, -1.3736404180526733, -1.0868961811065674]	[0.8734350204467773, -2.3233096599578857, -1.4256726503372192, -1.6902803182601929, 1.5342046022415161, -1.233382225036621, -0.5243489146232605, 0.5052424073219299, 0.7343171834945679, 0.4303956627845764, 0.35421261191368103, -0.4975931644439697, 1.4112846851348877, -0.9296752214431763, 0.2391016185283661, 1.2087533473968506]	6.0	0.0	[-0.060369424521923065, -0.018922464922070503, 0.3861563503742218, 0.8880189061164856, 0.5651280879974365, -0.12819091975688934, 1.310697317123413, -0.8244858384132385]	[1.4162750244140625, -0.5431403517723083, -0.8359140157699585, -0.6044983267784119, -0.05322599038481712, -0.9767932295799255, -0.7334505319595337, -0.8075380921363831, -0.816692054271698, -1.211767315864563, -0.9334505200386047]	4
1014	[0.3508923053741455, -0.9504221677780151, -0.34961867332458496, 0.722840428352356, -0.9329550862312317, 1.0145859718322754, -1.5645451545715332, -1.290636420249939]	[0.6524004936218262, -1.3519364595413208, -0.6801760196685791, -0.06461033225059509, 0.684546947479248, 0.4985257387161255, -0.5583909153938293, -0.8339187502861023, 0.1944027990102768, -0.9912306666374207, -1.688582420349121, -0.15647989511489868, 1.7070484161376953, -0.2972817122936249, 0.8827493190765381, -0.6491680145263672]	6.0	7.0	[-0.24226444959640503, -0.021684356033802032, 0.3910805583000183, 0.4966316819190979, 0.18286074697971344, 0.4546893537044525, 1.944821834564209, -0.6510909795761108]	[-0.15532059967517853, 2.613168954849243, 0.3658958971500397, -0.47867777943611145, -0.6646060943603516, 0.9583796262741089, 2.254551649093628, 2.7302989959716797, 1.9711437225341797, 2.0478103160858154, 2.0003714561462402]	3
1015	[-0.7039786577224731, -1.6391385793685913, -0.22486788034439087, 0.7526746988296509, 0.6734334826469421, 0.199640154838562, 0.3909335136413574, -1.6778122186660767]	[1.0040440559387207, -3.3827710151672363, -1.038273572921753, -0.3104020953178406, 2.442183017730713, -1.2746471166610718, -1.7343966960906982, 0.7408972978591919, 2.1965975761413574, -2.8521575927734375, 0.8259919881820679, -0.2519379258155823, 0.8225185871124268, 1.7351124286651611, 2.2806196212768555, -0.5369299054145813]	3.0	0.0	[-1.3582768440246582, -1.022376537322998, -1.2199552059173584, 0.9819945693016052, -1.1902108192443848, 0.8083416819572449, 0.0842243954539299, 0.426294207572937]	[1.9199891090393066, -0.5555327534675598, -1.0419906377792358, -0.6199096441268921, -0.5804544687271118, -0.49019864201545715, -0.5117447376251221, -1.0317561626434326, -0.7696608901023865, -0.998363733291626, -0.7270476222038269]	0
